Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
OA,Annual population,79,Germany,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2000,2000,1000 persons,81895.925,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
OA,Annual population,79,Germany,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2001,2001,1000 persons,81809.438,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
OA,Annual population,79,Germany,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2002,2002,1000 persons,81699.829,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
OA,Annual population,79,Germany,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2003,2003,1000 persons,81569.481,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
OA,Annual population,79,Germany,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2004,2004,1000 persons,81417.791,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
OA,Annual population,79,Germany,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2005,2005,1000 persons,81246.801,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
OA,Annual population,79,Germany,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2006,2006,1000 persons,81055.904,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
OA,Annual population,79,Germany,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2007,2007,1000 persons,80854.515,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
OA,Annual population,79,Germany,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2008,2008,1000 persons,80665.906,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
OA,Annual population,79,Germany,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2009,2009,1000 persons,80519.685,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
OA,Annual population,79,Germany,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2010,2010,1000 persons,80435.307,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
OA,Annual population,79,Germany,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2011,2011,1000 persons,80424.665,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
OA,Annual population,79,Germany,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2012,2012,1000 persons,80477.952,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"
OA,Annual population,79,Germany,511,Total Population - Both sexes,3010,Population - Est. & Proj.,2013,2013,1000 persons,80565.861,XU,"UNDESA, Population Division – World Population Prospects, the 2015 Revision"